times,Cplex,Mosek,Scip,L0Bnb,SBnb,El0ps
68.21010617191911,0.0,0.13333333333333333,0.0,0.54,0.7066666666666667,0.84
77.51964059733804,0.0,0.16,0.0,0.5466666666666666,0.76,0.84
88.09977018939732,0.0,0.16666666666666666,0.0,0.5533333333333333,0.78,0.8666666666666667
100.12390985841515,0.0,0.18,0.0,0.5733333333333334,0.78,0.8666666666666667
113.78914273879153,0.0,0.2,0.0,0.58,0.7933333333333333,0.8666666666666667
129.3194505042674,0.0,0.23333333333333334,0.0,0.5866666666666667,0.8066666666666666,0.88
146.9693845669908,0.0,0.2866666666666667,0.0,0.6133333333333333,0.8266666666666667,0.8866666666666667
167.02823833362376,0.0,0.3333333333333333,0.0,0.64,0.8533333333333334,0.9
189.82478890436778,0.0,0.3466666666666667,0.0,0.68,0.8666666666666667,0.9
215.73268593430393,0.0,0.38666666666666666,0.0,0.6933333333333334,0.8733333333333333,0.9133333333333333
245.17657598384474,0.0,0.43333333333333335,0.0,0.7,0.88,0.9333333333333333
278.6390627402075,0.0,0.48,0.0,0.7266666666666667,0.8866666666666667,0.9333333333333333
316.66861719227745,0.006666666666666667,0.5,0.0,0.74,0.8933333333333333,0.9333333333333333
359.88856741154524,0.006666666666666667,0.5333333333333333,0.0,0.74,0.9066666666666666,0.9533333333333334
409.00731528723435,0.06,0.5533333333333333,0.0,0.7733333333333333,0.9066666666666666,0.96
464.82994767425583,0.10666666666666667,0.58,0.0,0.7866666666666666,0.9133333333333333,0.96
528.2714322679369,0.14,0.6,0.0,0.7933333333333333,0.94,0.9733333333333334
600.3716144941355,0.15333333333333332,0.62,0.0,0.82,0.94,0.9733333333333334
682.312261223087,0.16666666666666666,0.6466666666666666,0.02,0.8333333333333334,0.94,0.9733333333333334
775.4364306640792,0.18666666666666668,0.6733333333333333,0.02666666666666667,0.8466666666666667,0.9533333333333334,0.9733333333333334
881.2704859255726,0.21333333333333335,0.6933333333333334,0.03333333333333333,0.8533333333333334,0.9533333333333334,0.9733333333333334
1001.5491130567427,0.23333333333333334,0.72,0.03333333333333333,0.8733333333333333,0.9533333333333334,0.9733333333333334
1138.2437536316932,0.26,0.7333333333333333,0.04,0.8933333333333333,0.9533333333333334,0.9733333333333334
1293.5949179041029,0.29333333333333333,0.7533333333333333,0.04,0.8933333333333333,0.9533333333333334,0.9733333333333334
1470.1489081650504,0.3333333333333333,0.78,0.05333333333333334,0.9133333333333333,0.96,0.9733333333333334
1670.799554222673,0.36666666666666664,0.7933333333333333,0.05333333333333334,0.9266666666666666,0.9666666666666667,0.9733333333333334
1898.8356450741821,0.4,0.8133333333333334,0.06666666666666667,0.94,0.9666666666666667,0.9733333333333334
2157.99483420484,0.4266666666666667,0.84,0.07333333333333333,0.94,0.9733333333333334,0.9733333333333334
2452.524902055355,0.44,0.8466666666666667,0.08,0.9466666666666667,0.9733333333333334,0.9733333333333334
2787.253379787609,0.44666666666666666,0.86,0.1,0.96,0.9733333333333334,0.9733333333333334
3167.666675525599,0.48,0.8733333333333333,0.1,0.9666666666666667,0.9733333333333334,0.9733333333333334
