grid_time,grid_iter,ProximalGradient_time_sopt,ProximalGradient_time_cost,ProximalGradient_iter_sopt,ProximalGradient_iter_cost,ProximalGradientScr_time_sopt,ProximalGradientScr_time_cost,ProximalGradientScr_iter_sopt,ProximalGradientScr_iter_cost,ProximalGradientRlx_time_sopt,ProximalGradientRlx_time_cost,ProximalGradientRlx_iter_sopt,ProximalGradientRlx_iter_cost,ProximalGradientScrRlx_time_sopt,ProximalGradientScrRlx_time_cost,ProximalGradientScrRlx_iter_sopt,ProximalGradientScrRlx_iter_cost
0.040370172585965536,40,0.00023928932677474076,500000.0,1.9446940755216136e-07,500000.0,7.278535456056056e-05,57870.0,4.795382415323512e-09,41530.0,0.0001124518824573531,624485.0,,,2.021467262683458e-05,512222.22222222225,,
0.04328761281083057,42,0.00019273311614768877,500000.0,1.5110714071370214e-07,500000.0,6.0242937617676625e-05,51565.0,3.20327744371407e-09,41485.0,5.509556776527175e-05,671675.0,,,6.247639091476759e-06,571954.5454545454,,
0.046415888336127795,44,0.00014679732179050358,500000.0,1.4989129371076327e-07,500000.0,5.913863704634772e-05,49100.0,9.097179517331133e-09,41465.0,2.871381442566337e-05,720905.0,,,4.846574182117526e-06,625383.8383838384,,
0.049770235643321115,46,0.0001024129356287734,500000.0,1.3023564999242732e-07,500000.0,1.2558660638175706e-05,45825.0,3.0043914411859164e-09,41445.0,1.6245499801390424e-05,770515.0,,,5.468964243059751e-07,643691.9191919192,,
0.0533669923120631,48,7.977070784293953e-05,500000.0,8.7245970228772e-08,500000.0,1.1646742031850427e-05,44925.0,7.541708826885873e-10,41425.0,9.410263640221157e-06,822625.0,,,5.780774576757515e-10,663853.5353535353,,
0.05722367659350217,50,5.496705264594337e-05,500000.0,7.008152473231278e-08,500000.0,1.1604376084245471e-05,44640.0,5.408120562488961e-10,41425.0,5.342565412281147e-06,881425.0,,,2.843797868346436e-10,671717.1717171717,,
0.06135907273413173,52,3.658771372737804e-05,500000.0,4.5892813199110985e-08,500000.0,3.109929208556239e-06,43005.0,3.763202439943658e-10,41415.0,6.230219028190154e-06,935720.0,,,2.220446049250313e-18,679510.101010101,,
0.06579332246575682,54,2.591139206599327e-05,500000.0,3.9803627508855355e-08,500000.0,3.1122566936928054e-06,42980.0,2.417423859701895e-10,41410.0,1.2476972978210654e-06,988950.0,,,,,,
0.07054802310718646,56,2.0673467995124817e-05,500000.0,3.526957414318188e-08,500000.0,5.926958722936304e-07,41860.0,1.910820351946896e-10,41405.0,4.237806406008626e-07,1040485.0,,,,,,
0.07564633275546291,58,1.5731659073140307e-05,500000.0,2.7292987130056457e-08,500000.0,1.0321032817409148e-07,41550.0,1.2431640272758672e-10,41405.0,8.478490735333577e-08,1075475.0,,,,,,
0.08111308307896872,60,8.59392941498019e-06,500000.0,2.1826021494031344e-08,500000.0,8.62387669831044e-09,41430.0,5.957930357403107e-11,41400.0,2.6008018631784593e-09,1103435.0,,,,,,
0.08697490026177834,62,5.224184083162386e-06,500000.0,1.8883968437855003e-08,500000.0,2.932716837433791e-10,41390.0,3.648750496187958e-11,41395.0,1.021433896999609e-11,1114945.0,,,,,,
0.093260334688322,64,3.653675772641446e-06,500000.0,1.2842993376976919e-08,500000.0,1.357239196031479e-11,41390.0,4.388167634816753e-11,41390.0,2.7334311608617765e-13,1116955.0,,,,,,
0.1,66,2.370508660481524e-06,500000.0,1.0603029548666986e-08,500000.0,1.3981305002630506e-12,41390.0,4.164108488580176e-11,41390.0,2.220446049250313e-18,1117470.0,,,,,,
0.10722672220103231,68,1.458114955416867e-06,500000.0,9.273551301869354e-09,500000.0,3.365319134474021e-13,41390.0,2.2353341122549608e-11,41390.0,,,,,,,,
0.11497569953977356,70,1.2118750178080617e-06,500000.0,9.229239512631438e-09,500000.0,5.555139681590049e-14,41390.0,7.138779706261644e-12,41390.0,,,,,,,,
0.12328467394420659,72,7.360028298178389e-07,500000.0,6.654263164512786e-09,500000.0,9.003076062441551e-15,41390.0,6.4279612188578026e-12,41390.0,,,,,,,,
0.13219411484660293,74,6.188538071523475e-07,500000.0,5.17854605294743e-09,500000.0,2.1316282072803005e-16,41390.0,1.0511786441291804e-11,41390.0,,,,,,,,
0.14174741629268056,76,4.5586294565982956e-07,500000.0,3.975486803642347e-09,500000.0,2.220446049250313e-18,41390.0,9.407626344604126e-12,41390.0,,,,,,,,
0.1519911082952934,78,3.5643034829418996e-07,500000.0,3.2173312834726796e-09,500000.0,,,4.440784823200872e-12,41390.0,,,,,,,,
0.16297508346206444,80,2.7784108245304527e-07,500000.0,3.0913966880818933e-09,500000.0,,,1.3410224319887477e-12,41390.0,,,,,,,,
0.17475284000076838,82,1.5421143558291827e-07,500000.0,2.5463774994127775e-09,500000.0,,,1.5412132681191792e-12,41390.0,,,,,,,,
0.1873817422860384,84,1.2328898675861845e-07,500000.0,2.232386686479293e-09,500000.0,,,2.4656879316076187e-12,41390.0,,,,,,,,
0.20092330025650468,86,8.100038386346653e-08,500000.0,1.838974590662179e-09,500000.0,,,2.1661177018739154e-12,41390.0,,,,,,,,
0.21544346900318845,88,6.164694711180418e-08,500000.0,1.4405258126626296e-09,500000.0,,,1.0861732346878483e-12,41390.0,,,,,,,,
